head,relation,tail
Alexandria_Ocasio-Cortez,mother,Blanca_Ocasio-Cortez
Alexandria_Ocasio-Cortez,father,Sergio_Ocasio
Condoleezza_Rice,father,John_Wesley_Rice
Nikki_Haley,mother,Raj_Kaur_Randhawa
Nikki_Haley,father,Ajit_Singh_Randhawa
Amy_Klobuchar,father,Jim_Klobuchar
Jill_Biden,mother,Bonny_Jean_Jacobs
Michelle_Obama,father,Fraser_Robinson
Michelle_Obama,mother,Marian_Shields_Robinson
Fraser_Robinson,wife,Marian_Shields_Robinson
Sarah_Palin,father,Chuck_Heath
John_Adams,wife,Abigail_Adams
Thomas_Jefferson,wife,Martha_Wayles_Skelton_Jefferson
Aaron_Burr,wife,Theodosia_Bartow_Prevost
George_Clinton,wife,Sarah_Cornelia_Tappen
Elbridge_Gerry,wife,Ann_Thompson_Gerry
John_Tyler,wife,Letitia_Christian_Tyler
